"","date","Tank3","Tank4","Tank5"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4","01/01/2025 00:00:00","30.5","30.4","30.4"
"5","01/01/2025 00:01:00","30.3","30.4","30.3"
"6","01/01/2025 00:02:00","30.3","30.4","30.3"
"7","01/01/2025 00:03:00","30.3","30.4","30.2"
"8","01/01/2025 00:04:00","30.3","30.4","30.2"
"9","01/01/2025 00:05:00","30.3","30.4","30.2"
"10","01/01/2025 00:06:00","30.2","30.4","30.2"
"11","01/01/2025 00:07:00","30.2","30.4","30.3"
"12","01/01/2025 00:08:00","30.2","30.4","30.3"
"13","01/01/2025 00:09:00","30.2","30.3","30.3"
"14","01/01/2025 00:10:00","30.2","30.3","30.3"
"15","01/01/2025 00:11:00","30.3","30.3","30.2"
"16","01/01/2025 00:12:00","30.3","30.3","30.2"
"17","01/01/2025 00:13:00","30.4","30.2","30.2"
"18","01/01/2025 00:14:00","30.4","30.2","30.2"
"19","01/01/2025 00:15:00","30.5","30.2","30.2"
"20","01/01/2025 00:16:00","30.5","30.2","30.3"
"21","01/01/2025 00:17:00","30.5","30.3","30.4"
"22","01/01/2025 00:18:00","30.5","30.3","30.4"
"23","01/01/2025 00:19:00","30.5","30.4","30.4"
"24","01/01/2025 00:20:00","30.3","30.4","30.3"
"25","01/01/2025 00:21:00","30.3","30.4","30.3"
"26","01/01/2025 00:22:00","30.3","30.4","30.2"
"27","01/01/2025 00:23:00","30.3","30.4","30.2"
"28","01/01/2025 00:24:00","30.2","30.4","30.2"
"29","01/01/2025 00:25:00","30.2","30.4","30.2"
"30","01/01/2025 00:26:00","30.2","30.4","30.2"
"31","01/01/2025 00:27:00","30.2","30.4","30.3"
"32","01/01/2025 00:28:00","30.2","30.4","30.3"
"33","01/01/2025 00:29:00","30.3","30.3","30.4"
"34","01/01/2025 00:30:00","30.3","30.3","30.4"
"35","01/01/2025 00:31:00","30.3","30.3","30.3"
"36","01/01/2025 00:32:00","30.3","30.2","30.2"
"37","01/01/2025 00:33:00","30.3","30.2","30.2"
"38","01/01/2025 00:34:00","30.3","30.2","30.2"
"39","01/01/2025 00:35:00","30.3","30.2","30.2"
"40","01/01/2025 00:36:00","30.3","30.3","30.2"
"41","01/01/2025 00:37:00","30.3","30.3","30.3"
"42","01/01/2025 00:38:00","30.2","30.4","30.4"
"43","01/01/2025 00:39:00","30.2","30.4","30.4"
"44","01/01/2025 00:40:00","30.2","30.4","30.4"
"45","01/01/2025 00:41:00","30.2","30.4","30.3"
"46","01/01/2025 00:42:00","30.2","30.4","30.2"
"47","01/01/2025 00:43:00","30.3","30.4","30.2"
"48","01/01/2025 00:44:00","30.3","30.4","30.3"
"49","01/01/2025 00:45:00","30.4","30.4","30.3"
